slide	subclass	layer	mean_region_num	mean_enrich_num	mean_glut_num	mean_gaba_num	mean_glut_gaba_ratio	sample_n
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 1	1	2	9.5	8.5	1.14285714285714	2
C57BL6J-1.026	051 Pvalb chandelier Gaba	layer 2/3	1	2	45	8	5.625	1
C57BL6J-1.026	052 Pvalb Gaba	layer 2/3	1	1.5	4	2	1.33333333333333	2
C57BL6J-1.026	053 Sst Gaba	layer 1	1	1.5	2.5	2.5	1	2
C57BL6J-1.026	053 Sst Gaba	layer 2/3	1	1	15	1	15	1
C57BL6J-1.026	319 Astro-TE NN	layer 1	2.5	44.8333333333333	10.75	8.25	1.27380952380952	2
C57BL6J-1.026	319 Astro-TE NN	layer 2/3	1	12	69	8	8.625	1
C57BL6J-1.026	326 OPC NN	layer 1	2.5	13.5833333333333	9.83333333333333	5.91666666666667	1.67548076923077	2
C57BL6J-1.026	326 OPC NN	layer 2/3	1	4.5	38.5	5.5	6.6875	2
C57BL6J-1.026	327 Oligo NN	layer 1	1.5	4.25	10.25	6	1.75	2
C57BL6J-1.026	327 Oligo NN	layer 2/3	1	1	2	0	NA	1
C57BL6J-1.026	328 OEC NN	layer 1	2	1.75	5.5	4.75	1.125	2
C57BL6J-1.026	330 VLMC NN	layer 1	2	6.25	5.5	5	1.11904761904762	2
C57BL6J-1.026	331 Peri NN	layer 1	2	6.5	9.75	6.25	1.55844155844156	2
C57BL6J-1.026	331 Peri NN	layer 2/3	1	3	46	8	5.88888888888889	2
C57BL6J-1.026	332 SMC NN	layer 1	2	4.16666666666667	7.16666666666667	5.83333333333333	1.89583333333333	2
C57BL6J-1.026	333 Endo NN	layer 1	2.5	27.25	6	4.83333333333333	1.31617647058824	2
C57BL6J-1.026	333 Endo NN	layer 2/3	1	13	23	7	3.28571428571429	1
C57BL6J-1.026	334 Microglia NN	layer 1	2.5	17.8333333333333	7.5	5.91666666666667	1.29230769230769	2
C57BL6J-1.026	334 Microglia NN	layer 2/3	1	2	2	1	2	1
C57BL6J-1.026	335 BAM NN	layer 1	2	1.5	2.5	1.5	1.66666666666667	1
C57BL6J-1.026	335 BAM NN	layer 2/3	1	1	7	1	4.5	2
C57BL6J-1.026	338 Lymphoid NN	layer 1	1.5	1.5	7.25	3.5	1.83333333333333	2
C57BL6J-1.027	006 L4/5 IT CTX Glut	layer 2/3	1.5	5.5	71	9.5	6.0625	2
C57BL6J-1.027	007 L2/3 IT CTX Glut	layer 1	3	12.5	12.5	3.66666666666667	3.48214285714286	2
C57BL6J-1.027	007 L2/3 IT CTX Glut	layer 2/3	1.5	84.5	87.75	9.25	10.1833333333333	2
C57BL6J-1.027	046 Vip Gaba	layer 1	2.5	3.75	10.375	8.25	1.02857142857143	2
C57BL6J-1.027	046 Vip Gaba	layer 2/3	1	12.5	174.5	30.5	5.77	2
C57BL6J-1.027	047 Sncg Gaba	layer 1	1	1	3.5	3.5	1.04166666666667	2
C57BL6J-1.027	047 Sncg Gaba	layer 2/3	1.5	2.75	54.75	8.25	6.66911764705882	2
C57BL6J-1.027	049 Lamp5 Gaba	layer 1	2	6	7	6.83333333333333	1.03571428571429	2
C57BL6J-1.027	049 Lamp5 Gaba	layer 2/3	1	2	23	7	3.15384615384615	2
C57BL6J-1.027	051 Pvalb chandelier Gaba	layer 2/3	1	1	26	4	6.5	1
C57BL6J-1.027	052 Pvalb Gaba	layer 1	1	1	8.5	5	1.83333333333333	2
C57BL6J-1.027	052 Pvalb Gaba	layer 2/3	1	4	105.5	15.5	6.94327731092437	2
C57BL6J-1.027	053 Sst Gaba	layer 1	1	1	3	4	0.75	1
C57BL6J-1.027	053 Sst Gaba	layer 2/3	1	5	64	11	5.81818181818182	1
C57BL6J-1.027	319 Astro-TE NN	layer 1	3	25.75	5	2.875	1.78030303030303	2
C57BL6J-1.027	319 Astro-TE NN	layer 2/3	1	34	181	29	6.24137931034483	1
C57BL6J-1.027	326 OPC NN	layer 1	1	17.5	10.5	5.5	2.04166666666667	2
C57BL6J-1.027	326 OPC NN	layer 2/3	1	12	142	23	6.17391304347826	1
C57BL6J-1.027	327 Oligo NN	layer 1	1.5	6.25	10.25	4	2.78333333333333	2
C57BL6J-1.027	327 Oligo NN	layer 2/3	1	3	80	16	5	1
C57BL6J-1.027	328 OEC NN	layer 1	1	1	7	0	NA	1
