subclass	true_cluster_n	true_mean_cluster_size	true_median_cluster_size	random_sample_n	random_mean_of_replicate_maxima	random_median_of_replicate_maxima	random_q1	random_q3	random_min	random_max	difference_true_mean_minus_random_max_mean	fold_change_true_mean_over_random_max_mean	p_one_sided_true_gt	p_one_sided_true_lt	p_two_sided
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba	2	317.0	317.0	500	446.89	456.0	366.25	531.5	89.0	714.0	-129.89	0.7093468191277496	0.8163672654690619	0.18562874251497005	0.3473053892215569
204 SC Otx2 Gcnt4 Gaba	4	91.25	87.5	500	129.994	126.0	112.0	139.0	64.0	271.0	-38.744	0.7019554748680709	0.9820359281437125	0.01996007984031936	0.09381237524950099
207 SCs Dmbx1 Gaba	10	170.8	143.0	500	666.62	691.5	558.0	791.0	174.0	1007.0	-495.82	0.2562179352554679	1.0	0.001996007984031936	0.001996007984031936
208 SC Lef1 Otx2 Gaba	12	108.08333333333333	126.5	500	154.828	125.0	78.0	227.25	52.0	402.0	-46.744666666666674	0.6980864787592252	0.5608782435129741	0.4411177644710579	0.7425149700598802
209 SCs Pax7 Nfia Gaba	1	81.0	81.0	500	97.794	94.0	72.0	125.0	34.0	160.0	-16.793999999999997	0.8282716731087797	0.6506986027944112	0.3772455089820359	0.7085828343313373
211 SC Tnnt1 Gli3 Gaba	6	115.5	101.0	500	148.69	139.0	120.0	171.25	88.0	264.0	-33.19	0.7767839128387921	0.8223552894211577	0.17964071856287425	0.41317365269461076
213 SCsg Gabrr2 Gaba	12	137.91666666666666	154.5	500	191.392	182.5	142.0	218.0	83.0	403.0	-53.47533333333334	0.7205978654628545	0.782435129740519	0.21956087824351297	0.405189620758483
222 PB Evx2 Glut	1	163.0	163.0	433	138.31177829099306	142.0	117.0	157.0	59.0	230.0	24.68822170900694	1.1784968859055922	0.195852534562212	0.8179723502304147	0.4078341013824885
256 SPVC Mafa Glut	1	195.0	195.0	463	170.76889848812095	178.0	157.0	190.0	56.0	276.0	24.231101511879046	1.1418941137783623	0.1961206896551724	0.8125	0.39655172413793105
262 Pineal Crx Glut	14	108.78571428571429	88.0	500	179.536	160.0	131.0	215.25	101.0	462.0	-70.75028571428571	0.605927024584007	0.9800399201596807	0.021956087824351298	0.15768463073852296
314 CB Granule Glut	6	264.6666666666667	252.0	500	552.656	539.5	436.75	655.0	255.0	902.0	-287.98933333333326	0.4788994721249144	0.998003992015968	0.003992015968063872	0.043912175648702596
315 DCO UBC Glut	1	301.0	301.0	500	272.212	271.0	240.0	304.0	152.0	407.0	28.78800000000001	1.1057558079731975	0.2874251497005988	0.7265469061876247	0.564870259481038
316 Bergmann NN	1	107.0	107.0	495	134.43636363636364	132.0	105.0	160.5	50.0	262.0	-27.436363636363637	0.7959156072491209	0.7278225806451613	0.28225806451612906	0.5262096774193549
317 Astro-CB NN	3	81.33333333333333	97.0	500	101.394	99.0	92.75	111.0	54.0	150.0	-20.060666666666677	0.8021513436035005	0.9221556886227545	0.07984031936127745	0.18363273453093812
318 Astro-NT NN	265	137.66037735849056	108.0	500	769.904	761.5	688.75	837.5	464.0	1312.0	-632.2436226415094	0.17880200305296579	1.0	0.001996007984031936	0.001996007984031936
319 Astro-TE NN	3309	128.45330915684497	73.0	500	2106.43	1990.5	1691.0	2385.0	1298.0	5208.0	-1977.9766908431548	0.06098152284046703	1.0	0.001996007984031936	0.007984031936127744
