slide	subclass	layer	true_file_count	random_sample_n	true_region_num	region_num_p_one_sided_true_gt	region_num_p_one_sided_true_lt	region_num_p_two_sided	true_glut_num	glut_num_p_one_sided_true_gt	glut_num_p_one_sided_true_lt	glut_num_p_two_sided	true_gaba_num	gaba_num_p_one_sided_true_gt	gaba_num_p_one_sided_true_lt	gaba_num_p_two_sided	true_ei_ratio	ei_ratio_p_one_sided_true_gt	ei_ratio_p_one_sided_true_lt	ei_ratio_p_two_sided
C57BL6J-1.114	332 SMC NN	layer 2/3	1	469	1.000000	1	0.651064	1	119.000000	0.429787	0.57234	0.985106	11.000000	0.502128	0.534043	0.897872	10.818182	0.33871	0.663594	0.831797
C57BL6J-1.114	333 Endo NN	layer 1	1	499	3.000000	0.672	0.722	1	6.666667	0.59	0.412	0.674	3.000000	0.592	0.486	0.762	2.222222	0.56998	0.432049	0.624746
C57BL6J-1.114	333 Endo NN	layer 2/3	1	498	2.000000	0.695391	0.795591	1	188.000000	0.238477	0.763527	0.635271	20.500000	0.218437	0.791583	0.529058	7.137500	0.969758	0.0322581	0.0947581
C57BL6J-1.114	333 Endo NN	layer 4	1	211	1.000000	1	0.995283	1	16.000000	0.528302	0.5	1	2.000000	0.599057	0.660377	1	8.000000	0.540881	0.540881	0.899371
C57BL6J-1.114	333 Endo NN	layer 5	1	285	1.000000	1	1	1	15.000000	0.702797	0.307692	0.625874	1.000000	0.912587	0.206294	0.265734	15.000000	0.0229885	0.984674	0.0229885
C57BL6J-1.114	334 Microglia NN	layer 1	1	500	2.000000	0.864271	0.540918	1	16.000000	0.143713	0.878244	0.247505	6.500000	0.169661	0.862275	0.307385	1.454545	0.917339	0.0846774	0.175403
C57BL6J-1.114	334 Microglia NN	layer 2/3	1	487	2.000000	0.545082	0.889344	1	127.000000	0.514344	0.493852	0.80123	14.500000	0.461066	0.55123	0.920082	9.272059	0.650728	0.351351	0.555094
C57BL6J-1.114	335 BAM NN	layer 1	1	481	1.000000	1	0.352697	0.520747	19.000000	0.0809129	0.93361	0.0809129	6.000000	0.1639	0.900415	0.290456	3.166667	0.263033	0.739336	0.760664
C57BL6J-1.114	337 DC NN	layer 1	1	464	1.000000	1	0.739785	1	55.000000	0.00215054	1	0.00215054	12.000000	0.0236559	0.984946	0.0236559	4.583333	0.123077	0.879487	0.192308
C57BL6J-1.114	338 Lymphoid NN	layer 1	1	476	1.000000	1	0.57652	1	0.000000	1	0.0607966	0.209644	0.000000	1	0.140461	0.291405	nan			
C57BL6J-1.115	007 L2/3 IT CTX Glut	layer 1	1	497	1.000000	1	0.305221	0.512048	93.000000	0.00200803	1	0.00200803	25.000000	0.00200803	1	0.00200803	3.720000	0.930041	0.0720165	0.195473
C57BL6J-1.115	007 L2/3 IT CTX Glut	layer 2/3	1	447	1.000000	1	0.767857	1	102.000000	0.111607	0.90625	0.176339	18.000000	0.225446	0.819196	0.415179	5.666667	0.428235	0.574118	0.832941
C57BL6J-1.115	018 L2 IT PPP-APr Glut	layer 2/3	1	170	1.000000	1	1	1	11.000000	0.321637	0.730994	0.707602	1.000000	0.795322	0.51462	0.760234	11.000000	0.102941	0.919118	0.102941
