slide	subclass	layer	true_region_num	true_file_count	random_sample_n	true_gt_random_count	true_gt_random_ratio	perm_p_value_one_sided
C57BL6J-1.035	010 IT AON-TT-DP Glut	layer 1	1.000000	1	498	0	0.000000	1
C57BL6J-1.035	022 L5 ET CTX Glut	layer 2/3	1.000000	1	473	0	0.000000	1
C57BL6J-1.035	022 L5 ET CTX Glut	layer 5	2.000000	1	500	30	0.060000	0.94012
C57BL6J-1.035	029 L6b CTX Glut	layer 1	1.000000	1	496	0	0.000000	1
C57BL6J-1.035	029 L6b CTX Glut	layer 5	1.000000	1	396	0	0.000000	1
C57BL6J-1.035	030 L6 CT CTX Glut	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	032 L5 NP CTX Glut	layer 5	2.000000	1	500	25	0.050000	0.9501
C57BL6J-1.035	036 HPF CR Glut	layer 1	1.000000	1	488	0	0.000000	1
C57BL6J-1.035	042 OB-out Frmd7 Gaba	layer 1	1.000000	1	497	0	0.000000	1
C57BL6J-1.035	046 Vip Gaba	layer 1	7.000000	1	500	496	0.992000	0.00998004
C57BL6J-1.035	046 Vip Gaba	layer 2/3	4.000000	1	500	145	0.290000	0.710579
C57BL6J-1.035	046 Vip Gaba	layer 5	2.000000	1	500	77	0.154000	0.846307
C57BL6J-1.035	047 Sncg Gaba	layer 1	3.000000	1	498	190	0.381526	0.619238
C57BL6J-1.035	047 Sncg Gaba	layer 2/3	2.000000	1	500	41	0.082000	0.918164
C57BL6J-1.035	049 Lamp5 Gaba	layer 1	6.000000	1	500	488	0.976000	0.0259481
C57BL6J-1.035	049 Lamp5 Gaba	layer 2/3	3.000000	1	500	70	0.140000	0.860279
C57BL6J-1.035	049 Lamp5 Gaba	layer 5	3.000000	1	499	363	0.727455	0.274
C57BL6J-1.035	050 Lamp5 Lhx6 Gaba	layer 5	1.000000	1	392	0	0.000000	1
C57BL6J-1.035	051 Pvalb chandelier Gaba	layer 1	2.000000	1	493	88	0.178499	0.821862
C57BL6J-1.035	051 Pvalb chandelier Gaba	layer 2/3	1.000000	1	472	0	0.000000	1
C57BL6J-1.035	052 Pvalb Gaba	layer 2/3	4.000000	1	500	148	0.296000	0.704591
C57BL6J-1.035	052 Pvalb Gaba	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	053 Sst Gaba	layer 1	1.000000	1	484	0	0.000000	1
C57BL6J-1.035	053 Sst Gaba	layer 2/3	3.000000	1	500	49	0.098000	0.902196
C57BL6J-1.035	053 Sst Gaba	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	056 Sst Chodl Gaba	layer 1	2.000000	1	486	222	0.456790	0.544148
C57BL6J-1.035	056 Sst Chodl Gaba	layer 2/3	1.000000	1	479	0	0.000000	1
C57BL6J-1.035	056 Sst Chodl Gaba	layer 5	1.000000	1	374	0	0.000000	1
C57BL6J-1.035	318 Astro-NT NN	layer 1	1.000000	1	487	0	0.000000	1
C57BL6J-1.035	319 Astro-TE NN	layer 1	4.000000	1	500	43	0.086000	0.914172
C57BL6J-1.035	319 Astro-TE NN	layer 2/3	4.000000	1	500	44	0.088000	0.912176
C57BL6J-1.035	319 Astro-TE NN	layer 5	3.000000	1	500	110	0.220000	0.780439
C57BL6J-1.035	320 Astro-OLF NN	layer 1	1.000000	1	483	0	0.000000	1
C57BL6J-1.035	320 Astro-OLF NN	layer 2/3	1.000000	1	476	0	0.000000	1
C57BL6J-1.035	326 OPC NN	layer 1	5.000000	1	500	263	0.526000	0.47505
C57BL6J-1.035	326 OPC NN	layer 2/3	4.000000	1	500	150	0.300000	0.700599
C57BL6J-1.035	326 OPC NN	layer 5	3.000000	1	500	152	0.304000	0.696607
C57BL6J-1.035	327 Oligo NN	layer 1	5.000000	1	499	374	0.749499	0.252
C57BL6J-1.035	327 Oligo NN	layer 2/3	3.000000	1	500	38	0.076000	0.924152
C57BL6J-1.035	327 Oligo NN	layer 5	1.000000	1	500	0	0.000000	1
C57BL6J-1.035	329 ABC NN	layer 1	2.000000	1	500	9	0.018000	0.982036
C57BL6J-1.035	330 VLMC NN	layer 1	2.000000	1	500	0	0.000000	1
C57BL6J-1.035	330 VLMC NN	layer 2/3	3.000000	1	500	156	0.312000	0.688623
C57BL6J-1.035	330 VLMC NN	layer 5	1.000000	1	486	0	0.000000	1
C57BL6J-1.035	331 Peri NN	layer 1	3.000000	1	500	58	0.116000	0.884232
C57BL6J-1.035	331 Peri NN	layer 2/3	5.000000	1	500	331	0.662000	0.339321
C57BL6J-1.035	331 Peri NN	layer 5	2.000000	1	500	42	0.084000	0.916168
C57BL6J-1.035	332 SMC NN	layer 1	3.000000	1	500	58	0.116000	0.884232
C57BL6J-1.035	332 SMC NN	layer 2/3	4.000000	1	500	197	0.394000	0.606786
C57BL6J-1.035	332 SMC NN	layer 5	1.000000	1	497	0	0.000000	1
C57BL6J-1.035	333 Endo NN	layer 1	3.000000	1	500	2	0.004000	0.996008
C57BL6J-1.035	333 Endo NN	layer 2/3	6.000000	1	500	266	0.532000	0.469062
C57BL6J-1.035	333 Endo NN	layer 5	5.000000	1	500	414	0.828000	0.173653
C57BL6J-1.035	334 Microglia NN	layer 1	5.000000	1	500	241	0.482000	0.518962
