sample,slide,pair_key_unordered,a_class,b_class,overlap_a_in_b
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.5
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,1.0
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 052 Pvalb Gaba,007 L2/3 IT CTX Glut,052 Pvalb Gaba,0.6666666666666666
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.5757575757575758
sample_1,C57BL6J-1.027,047 Sncg Gaba || 049 Lamp5 Gaba,047 Sncg Gaba,049 Lamp5 Gaba,1.0
sample_1,C57BL6J-1.027,006 L4/5 IT CTX Glut || 007 L2/3 IT CTX Glut,006 L4/5 IT CTX Glut,007 L2/3 IT CTX Glut,0.9285714285714286
sample_1,C57BL6J-1.027,006 L4/5 IT CTX Glut || 046 Vip Gaba,006 L4/5 IT CTX Glut,046 Vip Gaba,0.9285714285714286
sample_1,C57BL6J-1.027,006 L4/5 IT CTX Glut || 047 Sncg Gaba,006 L4/5 IT CTX Glut,047 Sncg Gaba,1.0
sample_1,C57BL6J-1.027,006 L4/5 IT CTX Glut || 049 Lamp5 Gaba,006 L4/5 IT CTX Glut,049 Lamp5 Gaba,1.0
sample_1,C57BL6J-1.027,006 L4/5 IT CTX Glut || 052 Pvalb Gaba,006 L4/5 IT CTX Glut,052 Pvalb Gaba,1.0
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 046 Vip Gaba,007 L2/3 IT CTX Glut,046 Vip Gaba,0.8734177215189873
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 047 Sncg Gaba,007 L2/3 IT CTX Glut,047 Sncg Gaba,0.0379746835443038
sample_1,C57BL6J-1.027,007 L2/3 IT CTX Glut || 049 Lamp5 Gaba,007 L2/3 IT CTX Glut,049 Lamp5 Gaba,0.0379746835443038
sample_1,C57BL6J-1.027,046 Vip Gaba || 049 Lamp5 Gaba,046 Vip Gaba,049 Lamp5 Gaba,0.03409090909090909
